contest,experiment,family,preset,bet_size,total,media,max,min
100,Random 15,random,,15,1,9.000000,9,9
100,Intentionality Vector 15,intentionality_vector,,15,1,9.000000,9,9
100,Quantum Inspired 15,quantum_inspired,,15,1,9.000000,9,9
100,Quantum 15,quantum,,15,1,9.000000,9,9
100,Statistical balanced 15,statistical,balanced,15,1,7.000000,7,7
100,Random 16,random,,16,1,9.000000,9,9
100,Intentionality Vector 16,intentionality_vector,,16,1,12.000000,12,12
100,Quantum Inspired 16,quantum_inspired,,16,1,10.000000,10,10
100,Quantum 16,quantum,,16,1,10.000000,10,10
100,Statistical balanced 16,statistical,balanced,16,1,8.000000,8,8
